<<<<<<< HEAD
nombre,ubicación,foto,telefono,pagina_web,instagram,facebook,servicios_precios,servicios_horarios,servicios_delivery,servicios_medios_pago,agenda,tipo_de_comida
Iglesia de la Inmaculada Concepción,"https://www.google.com/maps/place/Iglesia+de+la+Inmaculada+Concepci%C3%B3n/@-29.1753428,-67.437931,1029m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d63ce364a4ee1:0x759c8cf113d7e386!8m2!3d-29.1765282!4d-67.4362242!16s%2Fg%2F1218fgg3?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D","https://www.google.com/maps/place/Libreria+malligasta/@0,0,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgICdiJfr_QE!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAB5caB-h02Zn18_6X4Zqsf3-W5237b8OsACDuvJAEMa0hqsJlC7VB5f0JMhpOUtacAzXyhsAVDCNxwby_7YHRIUCbaMeNWOEmMNDnSXHjNOaxh44JbMDWdYQ_hThD6tB5tMCpywqO9ZOrw%3Dw203-h451-k-no!7i1840!8i4096!4m17!1m9!3m8!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!10e5!16zL20vMGQzODE2!3m6!1s0x969d63343953e6ed:0x69242af3961239c3!8m2!3d-29.166867!4d-67.4387061!10e5!16s%2Fg%2F11hf7df4my?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,https://www.instagram.com/explore/locations/335716667247103/iglesia-inmaculada-concepcion---malligasta/,https://www.facebook.com/inmaculadaconcepcionmalligasta/?locale=es_LA,Gratuito,miercóles ,No,Null,Fiestas religiosas y patronales,N/A
Club Atlético Unión de Malligasta,"https://www.google.com/maps/place/Club+Atl%C3%A9tico+Uni%C3%B3n+de+Malligasta/@-29.1718531,-67.4394648,1029m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d63c92f8da915:0x37cc0e6e9f971320!8m2!3d-29.1716349!4d-67.4361124!16s%2Fg%2F11f1sj8swv?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D","https://www.google.com/maps/place/Club+Atl%C3%A9tico+Uni%C3%B3n+de+Malligasta/@-29.1716349,-67.4361124,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgIDy5MqhMA!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAB5caB-lclkoCvHLsxvRhs2ZX1L4xFsXAlsNIY_2siB_6nAQKZ1JPNp30bm1_TBd-iBjI9QHItZkG7ABejM_t355MWiSauUqRnpQthn1tDbo8Id2s25ZVq0n4cnjMqsk7FVkijPV8dU%3Dw203-h152-k-no!7i3264!8i2448!4m17!1m9!3m8!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!10e5!16zL20vMGQzODE2!3m6!1s0x969d63c92f8da915:0x37cc0e6e9f971320!8m2!3d-29.1716349!4d-67.4361124!10e5!16s%2Fg%2F11f1sj8swv?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,https://www.instagram.com/cau.malligasta/,https://www.facebook.com/uniondemalligasta/,Gratuito,Abierto todo el día,No,"Efectivo, Transferencia","Eventos deportivos, fiestas, gimnasio",Regional
Gym MP,"https://www.google.com/maps/place/Gym+MP/@-29.1701839,-67.4351622,258m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d63614d7c344f:0xb0403ffc392c92b7!8m2!3d-29.1698295!4d-67.434279!16s%2Fg%2F11wy6zxzyb?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D","https://www.google.com/maps/@-29.169813,-67.434405,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMh720YGZxTe46VrpLhQ0xeenQFrZ6E0AhGfycr!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fp%2FAF1QipMh720YGZxTe46VrpLhQ0xeenQFrZ6E0AhGfycr%3Dw86-h114-k-no!7i1200!8i1600?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,,https://www.instagram.com/gimnasiomp/,https://www.facebook.com/p/Gimnasiomp-100063616200225/?locale=it_IT,Gimnasio,Lunes a sábado,No,"Efectivo, Transferencia",Gimnasio,N/A
Centro De Salud Malligasta,"https://www.google.com/maps/place/Centro+De+Salid+Malligasta/@-29.1724037,-67.4367306,435m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d63c950067e9d:0xe1bbcd6265151baf!8m2!3d-29.1713325!4d-67.4344807!16s%2Fg%2F11c5zn80fb?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-rI-6oCOOBsRMy9QHI0JzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.879456&pitch=0&thumbfov=100,,,,,Gratuito,Abierto todo el día,Ambulancia,Primeros auxilios,N/A,N/A
Café La Esquina,"Avenida Central 456, Ciudad",url_cafe.jpg,987654321,www.laesquina.com,@laesquina,Café La Esquina,"Café: $3-$8, Pasteles: $5-$10",8:00-20:00,No,"Efectivo, Tarjeta",Noches de jazz los miércoles,Cafetería
Libreria malligasta,"https://www.google.com/maps/place/Iglesia+de+la+Inmaculada+Concepci%C3%B3n/@-29.1753428,-67.437931,1029m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d63ce364a4ee1:0x759c8cf113d7e386!8m2!3d-29.1765282!4d-67.4362242!16s%2Fg%2F1218fgg3?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNOCwv2yndT1G5rY_-2ocktt7foHgJPkWoAIieF=w408-h306-k-no,112233445,www.paraiso.com,@paraiso,Hotel Paraíso,"Habitación: $50-$150, Spa: $30-$80",24 horas,No,"Efectivo, Tarjeta",Clases de yoga los sábados,N/A
escuela nereo nievas,"https://www.google.com/maps/place/escuela+nereo+nievas/@-29.2530075,-67.4373482,4982m/data=!3m1!1e3!4m15!1m8!3m7!1s0x969d64675dc30bc7:0x22d447586b589aa!2sChilecito,+La+Rioja!3b1!8m2!3d-29.1611279!4d-67.4962016!16zL20vMGQzODE2!3m5!1s0x969d605e9532bc8b:0x1c49b57c5c841c0f!8m2!3d-29.2485984!4d-67.4233374!16s%2Fg%2F11dz3w85jy?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNm5BiGfOAvdRUunR-7vEXEzeai6pxWjpe2QjGI=w408-h306-k-no,556677889,www.lunaartesanias.com,https://www.instagram.com/gobmunchilecito/p/C7EZngBOuMW/,https://www.facebook.com/media/set/?set=a.1761412710815639&type=3&comment_id=1762218554068388&_rdr,Escuela de educación primaria,06:00-18:00,No,Gratuito,Talleres de cerámica los jueves,N/A
La Rosadita ,"https://www.google.com/maps/@-29.1708059,-67.4460369,127a,35y,52.95h,45t/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",https://imgur.com/a/la-rosadita-malligasta-zobKwio,998877665,www.elsaber.com,@elsaber,Librería El Saber,Libros: $10-$50,9:00-21:00,No,"Efectivo, Tarjeta",Club de lectura los martes,N/A
Cascada del Río Azul,Parque Nacional Río Azul,url_cascada.jpg,N/A,www.rioazul.com,N/A,Parque Río Azul,Entrada: $5,Abierto todo el día,No,Efectivo,N/A,N/A
